CC[N@@H+]1CC[C@@H](CNC(=O)[C@@H](C)[NH3+])C1 ZINC000037484137
CC[N@@H+]1CC[C@H](CNC(=O)C[NH2+]C)C1 ZINC000037484140
CC[N@@H+]1CC[C@@H](CNC(=O)C[NH2+]C)C1 ZINC000037484141
CC[N@@H+]1CC[C@H](C[NH2+]CCC(N)=O)C1 ZINC000037484370
CC[N@@H+]1CC[C@@H](C[NH2+]CCC(N)=O)C1 ZINC000037484371
C[C@@H]([NH3+])C(=O)NC[C@@H]1CC[N@H+](C)C1 ZINC000037484899
C[C@@H]([NH3+])C(=O)NC[C@H]1CC[N@H+](C)C1 ZINC000037484901
C[N@@H+]1CC[C@H](CNC(=O)CCC[NH3+])C1 ZINC000037484906
C[N@@H+]1CC[C@@H](CNC(=O)CCC[NH3+])C1 ZINC000037484907
C[NH2+]CC(=O)NC[C@@H]1CC[N@H+](C)C1 ZINC000037484912
C[NH2+]CC(=O)NC[C@H]1CC[N@H+](C)C1 ZINC000037484913
CC[C@H]([NH3+])C(=O)NC[C@@H]1CC[N@H+](C)C1 ZINC000037484920
CC[C@@H]([NH3+])C(=O)NC[C@@H]1CC[N@H+](C)C1 ZINC000037484921
CC[C@H]([NH3+])C(=O)NC[C@H]1CC[N@H+](C)C1 ZINC000037484922
CC[C@@H]([NH3+])C(=O)NC[C@H]1CC[N@H+](C)C1 ZINC000037484923
C[C@H]([NH3+])CC(=O)NC[C@@H]1CC[N@H+](C)C1 ZINC000037484930
C[C@@H]([NH3+])CC(=O)NC[C@@H]1CC[N@H+](C)C1 ZINC000037484931
C[C@H]([NH3+])CC(=O)NC[C@H]1CC[N@H+](C)C1 ZINC000037484932
C[C@@H]([NH3+])CC(=O)NC[C@H]1CC[N@H+](C)C1 ZINC000037484933
C[N@@H+]1CC[C@H](C[NH2+]CCC(N)=O)C1 ZINC000037485044
C[N@@H+]1CC[C@@H](C[NH2+]CCC(N)=O)C1 ZINC000037485045
[NH3+]CC(=O)NC[C@H]1CC[N@@H+](C2CC2)C1 ZINC000037485355
[NH3+]CC(=O)NC[C@@H]1CC[N@@H+](C2CC2)C1 ZINC000037485356
CC[N@@H+]1CC[C@H](CNC(=O)CC[NH3+])C1 ZINC000037655329
CC[N@@H+]1CC[C@@H](CNC(=O)CC[NH3+])C1 ZINC000037655330
C[N@@H+]1CC[C@H](CNC(=O)CC[NH3+])C1 ZINC000037655383
C[N@@H+]1CC[C@@H](CNC(=O)CC[NH3+])C1 ZINC000037655384
C[C@H](O)C[NH2+]C[C@@H]1CC[N@H+](C)C1 ZINC000037687929
C[C@@H](O)C[NH2+]C[C@@H]1CC[N@H+](C)C1 ZINC000037687930
C[C@H](O)C[NH2+]C[C@H]1CC[N@H+](C)C1 ZINC000037687931
C[C@@H](O)C[NH2+]C[C@H]1CC[N@H+](C)C1 ZINC000037687932
[NH3+]CCC(=O)N1CC[N@@H+]2CCC[C@@H]2C1 ZINC000037812605
[NH3+]CCC(=O)N1CC[N@@H+]2CCC[C@H]2C1 ZINC000037812606
[NH3+]CC(=O)N1CC[NH+](CC2CC2)CC1 ZINC000037816783
CN(C)C(=O)CC[N@H+](C)CCC[NH3+] ZINC000037897721
C[N@H+](CCO)CCCC[NH3+] ZINC000037899201
C[N@H+](C[C@H](O)C[NH3+])CC1CC1 ZINC000037925348
C[N@H+](C[C@@H](O)C[NH3+])CC1CC1 ZINC000037925349
CC[NH+]1CCC(NC(=O)C[NH2+]C)CC1 ZINC000037978585
C[C@@H](CNC(=O)[C@@H]1CCC[NH2+]1)[NH+](C)C ZINC000037985554
C[C@H](CNC(=O)[C@@H]1CCC[NH2+]1)[NH+](C)C ZINC000037985555
